Timestamp,car-id,car-type,gate-name
02/05/2016 18:05,20161602051605-625,2P,camping7
02/05/2016 18:09,20160902060913-100,2,entrance3
02/05/2016 18:15,20161602051605-625,2P,general-gate6
02/05/2016 18:18,20165902055925-718,1,general-gate2
02/05/2016 18:19,20161602051605-625,2P,general-gate5
02/05/2016 18:21,20165902055925-718,1,ranger-stop0
02/05/2016 18:24,20165902055925-718,1,ranger-stop2
02/05/2016 18:25,20163502053547-68,3,entrance2
02/05/2016 18:26,20165902055925-718,1,general-gate1
02/05/2016 18:27,20160902060913-100,2,general-gate1
02/05/2016 18:29,20161602051605-625,2P,gate3
02/05/2016 18:30,20160902060913-100,2,ranger-stop2
02/05/2016 18:31,20161602051605-625,2P,ranger-stop3
02/05/2016 18:33,20160902060913-100,2,ranger-stop0
02/05/2016 18:35,20160902060913-100,2,general-gate2
02/05/2016 18:45,20164502064542-349,2,entrance4
02/05/2016 18:46,20160902060913-100,2,general-gate5
02/05/2016 18:46,20165902055925-718,1,entrance3
02/05/2016 18:54,20164502064542-349,2,general-gate5
02/05/2016 18:55,20160902060913-100,2,entrance4
02/05/2016 19:04,20164502064542-349,2,general-gate2
02/05/2016 19:07,20164502064542-349,2,ranger-stop0
02/05/2016 19:10,20164502064542-349,2,ranger-stop2
02/05/2016 19:12,20164502064542-349,2,general-gate1
02/05/2016 19:14,20161001071044-510,1,camping2
02/05/2016 19:17,20161702071728-918,1,entrance0
02/05/2016 19:29,20161602051605-625,2P,ranger-stop3
02/05/2016 19:30,20161001071044-510,1,general-gate7
02/05/2016 19:30,20161702071728-918,1,general-gate4
02/05/2016 19:31,20164502064542-349,2,entrance3
02/05/2016 19:31,20161602051605-625,2P,gate3
02/05/2016 19:38,20161702071728-918,1,general-gate7
02/05/2016 19:40,20161602051605-625,2P,general-gate5
02/05/2016 19:43,20161001071044-510,1,entrance3
02/05/2016 19:51,20161602051605-625,2P,gate8
02/05/2016 19:51,20161702071728-918,1,entrance1
02/05/2016 19:53,20161602051605-625,2P,ranger-base
02/05/2016 20:29,20162902082953-222,1,entrance1
02/05/2016 20:44,20162902082953-222,1,general-gate7
02/05/2016 20:54,20165402085444-717,2,entrance1
02/05/2016 21:02,20162902082953-222,1,entrance3
02/05/2016 21:08,20165402085444-717,2,general-gate7
02/05/2016 21:16,20165402085444-717,2,general-gate4
02/05/2016 21:29,20165402085444-717,2,entrance0
02/05/2016 21:48,20164802094832-774,4,entrance2
02/05/2016 22:04,20160301010333-533,2,camping4
02/05/2016 22:05,20164802094832-774,4,entrance4
02/05/2016 22:15,20160301010333-533,2,general-gate7
02/05/2016 22:23,20160301010333-533,2,general-gate4
02/05/2016 22:33,20163302103315-908,1,entrance0
02/05/2016 22:34,20163302103315-908,1,general-gate1
02/05/2016 22:36,20160301010333-533,2,general-gate1
02/05/2016 22:37,20163302103315-908,1,ranger-stop2
02/05/2016 22:39,20160301010333-533,2,ranger-stop2
02/05/2016 22:40,20163302103315-908,1,ranger-stop0
02/05/2016 22:42,20160301010333-533,2,ranger-stop0
02/05/2016 22:43,20163302103315-908,1,general-gate2
02/05/2016 22:46,20160301010333-533,2,general-gate2
02/05/2016 23:03,20163302103315-908,1,entrance2
02/05/2016 23:07,20160702110708-713,3,entrance3
02/05/2016 23:09,20160301010333-533,2,entrance2
02/05/2016 23:31,20160702110708-713,3,entrance0
02/05/2016 23:35,20163502113558-127,3,entrance0
02/05/2016 23:37,20163502113558-127,3,general-gate1
02/05/2016 23:40,20163502113558-127,3,ranger-stop2
02/05/2016 23:43,20163502113558-127,3,ranger-stop0
02/05/2016 23:46,20163502113558-127,3,general-gate2
02/05/2016 23:58,20163502113558-127,3,general-gate5
03/05/2016 00:01,20160103120153-352,1,entrance1
03/05/2016 00:08,20163502113558-127,3,entrance4
03/05/2016 00:16,20160103120153-352,1,general-gate7
03/05/2016 00:18,20161803121816-661,5,entrance1
03/05/2016 00:29,20162903122925-790,1,entrance3
03/05/2016 00:31,20161803121816-661,5,general-gate7
03/05/2016 00:32,20160103120153-352,1,entrance3
03/05/2016 00:38,20161803121816-661,5,general-gate4
03/05/2016 00:47,20162903122925-790,1,general-gate1
03/05/2016 00:49,20161803121816-661,5,general-gate1
03/05/2016 00:49,20162903122925-790,1,ranger-stop2
03/05/2016 00:52,20161803121816-661,5,ranger-stop2
03/05/2016 00:52,20162903122925-790,1,ranger-stop0
03/05/2016 00:55,20162903122925-790,1,general-gate2
03/05/2016 00:55,20161803121816-661,5,ranger-stop0
03/05/2016 00:58,20161803121816-661,5,general-gate2
03/05/2016 01:05,20162903122925-790,1,general-gate5
03/05/2016 01:14,20162903122925-790,1,entrance4
03/05/2016 01:18,20161803011802-7,4,entrance0
03/05/2016 01:18,20161803121816-661,5,entrance2
03/05/2016 01:29,20161803011802-7,4,general-gate4
03/05/2016 01:36,20161803011802-7,4,general-gate7
03/05/2016 01:47,20164703014714-826,1,entrance3
